time,yellow_output,green_output,phlf,qacr,iptg,atc,f_phlf,f_qacr,f_iptg,f_atc,total,cluster,iptg_atc_combined
0.0,0,0,0,0,0,0,0,0,,,,0,0.0
0.1,0,0,0,0,0,0,0,0,,,,0,0.0
0.2,0,0,0,0,0,0,0,0,,,,0,0.0
0.3,0,0,0,0,0,0,0,0,,,,0,0.0
0.4,0,0,0,0,0,0,0,0,,,,0,0.0
0.5,0,0,0,0,0,0,0,0,,,,0,0.0
0.6,0,0,0,0,0,0,0,0,,,,0,0.0
0.7,0,0,0,0,0,0,0,0,,,,0,0.0
0.8,0,0,0,0,0,0,0,0,,,,0,0.0
0.9,0,0,0,0,0,0,0,0,,,,0,0.0
1.0,0,0,0,0,0,0,0,0,,,,0,0.0
1.1,0,0,0,0,0,0,0,0,,,,0,0.0
1.2,0,0,0,0,0,0,0,0,,,,0,0.0
1.3,0,0,0,0,0,0,0,0,,,,0,0.0
1.4,0,0,0,1,0,0,0,0,,,,0,0.0
1.5,0,0,0,1,0,0,0,0,,,,0,0.0
1.6,0,0,0,1,0,0,0,0,,,,0,0.0
1.7,0,0,0,2,0,0,0,0,,,,0,0.0
1.8,0,0,0,2,0,0,0,0,,,,0,0.0
1.9,0,0,0,5,0,0,0,0,,,,0,0.0
2.0,0,0,0,6,0,0,0,0,,,,0,0.0
2.1,0,0,0,8,0,0,0,0,,,,0,0.0
2.2,0,0,0,13,0,0,0,0,,,,0,0.0
2.3,0,0,0,17,0,0,0,0,,,,0,0.0
2.4,0,0,0,19,0,0,0,0,,,,0,0.0
2.5,0,0,0,23,0,0,0,0,,,,0,0.0
2.6,0,0,0,30,0,0,0,0,,,,0,0.0
2.7,0,0,0,38,0,0,0,0,,,,0,0.0
2.799999,0,0,0,43,0,0,0,0,,,,0,0.0
2.899999,0,0,0,57,0,0,0,0,,,,0,0.0
2.999999,0,0,0,68,0,0,0,0,,,,0,0.0
3.099999,0,0,0,87,0,0,0,0,,,,0,0.0
3.199999,0,0,0,113,0,0,0,0,,,,0,0.0
3.299999,0,0,0,141,0,0,0,0,,,,0,0.0
3.399999,0,0,0,174,0,0,0,0,,,,0,0.0
3.499999,0,0,0,201,0,0,0,0,,,,0,0.0
3.599999,0,0,0,230,0,0,0,0,,,,0,0.0
3.699999,0,0,0,279,0,0,0,0,,,,0,0.0
3.799999,0,0,0,336,0,0,0,0,,,,0,0.0
3.899998,0,0,0,403,0,0,0,0,,,,0,0.0
3.999998,0,0,0,470,0,0,0,0,,,,0,0.0
4.099998,0,0,0,536,0,0,0,0,,,,0,0.0
4.199998,0,0,0,612,0,0,0,0,,,,0,0.0
4.299998,0,0,0,714,0,0,0,0,,,,0,0.0
4.399998,0,0,0,804,0,0,0,0,,,,0,0.0
4.499998,0,0,0,886,0,0,0,0,,,,0,0.0
4.599998,0,0,0,989,0,0,0,0,,,,0,0.0
4.699998,0,0,0,1096,0,1,0,0,,,,0,0.5
4.799998,0,0,0,1203,0,1,0,0,,,,0,0.5
4.899998,0,0,0,1301,0,1,0,0,,,,0,0.5
4.999998,0,0,0,1420,0,1,0,0,,,,0,0.5
5.099998,0,0,0,1532,0,1,0,0,,,,0,0.5
5.199997,0,0,0,1633,1,1,0,0,,,,0,1.0
5.299997,0,0,0,1731,1,1,0,0,,,,0,1.0
5.399997,0,0,0,1813,1,1,0,0,,,,0,1.0
5.499997,0,0,0,1911,1,2,0,0,,,,0,1.5
5.599997,0,0,0,1997,1,2,0,0,,,,0,1.5
5.699997,0,0,0,2076,1,2,0,0,,,,0,1.5
5.799997,0,0,0,2159,2,3,0,0,,,,0,2.5
5.899997,0,0,0,2238,2,5,0,0,,,,0,3.5
5.999997,0,0,0,2307,4,5,0,0,,,,0,4.5
6.099997,0,0,0,2369,6,6,0,0,,,,0,6.0
6.199996,0,0,0,2424,6,6,0,0,,,,0,6.0
6.299996,0,0,0,2469,9,7,0,0,,,,0,8.0
6.399996,0,0,0,2499,9,9,0,0,,,,0,9.0
6.499996,0,0,0,2526,11,12,0,0,,,,0,11.5
6.599996,0,0,0,2555,15,13,0,0,,,,0,14.0
6.699996,0,0,0,2574,15,17,0,0,,,,0,16.0
6.799996,0,0,0,2589,16,20,0,0,,,,0,18.0
6.899996,0,0,0,2601,19,21,0,0,,,,0,20.0
6.999996,0,0,0,2614,22,23,0,0,,,,0,22.5
7.099996,0,0,0,2622,25,26,0,0,,,,0,25.5
7.199996,0,0,0,2629,31,31,0,0,,,,0,31.0
7.299995,0,0,0,2636,36,33,0,0,,,,0,34.5
7.399995,0,0,0,2639,44,39,0,0,,,,0,41.5
7.499995,0,0,0,2640,48,43,0,0,,,,0,45.5
7.599995,0,0,0,2644,57,48,0,0,,,,0,52.5
7.699995,0,0,0,2646,65,52,0,0,,,,0,58.5
7.799995,0,0,0,2647,68,63,0,0,,,,0,65.5
7.899995,0,0,0,2644,73,74,0,0,,,,0,73.5
7.999995,0,0,0,2642,79,80,0,0,,,,0,79.5
8.099995,0,0,0,2639,85,85,0,0,,,,0,85.0
8.199995,0,0,0,2637,89,90,0,0,,,,0,89.5
8.299995,0,0,0,2635,94,94,0,0,,,,0,94.0
8.399996,0,0,0,2630,107,101,0,0,,,,0,104.0
8.499996,0,0,0,2624,117,108,0,0,,,,0,112.5
8.599997,0,0,0,2615,123,115,0,0,,,,0,119.0
8.699997,0,0,0,2610,129,123,0,0,,,,0,126.0
8.799997,0,0,0,2606,137,134,0,0,,,,0,135.5
8.899998,0,0,0,2604,144,141,0,0,,,,0,142.5
8.999998,0,0,0,2602,151,154,0,0,,,,0,152.5
9.099998,0,0,0,2597,156,159,0,0,,,,0,157.5
9.199999,0,0,0,2590,161,164,0,0,,,,0,162.5
