time,phlf,qacr,yfp,gfp,atc,iptg,total
0.000000, 0, 0, 0, 0, 0, 0, 3000
0.100000, 0, 0, 0, 0, 0, 0, 3000
0.200000, 0, 0, 0, 0, 0, 0, 3000
0.300000, 0, 0, 0, 0, 0, 0, 3000
0.400000, 0, 0, 0, 0, 0, 0, 3000
0.500000, 0, 0, 0, 0, 0, 0, 3000
0.600000, 0, 0, 0, 0, 0, 0, 3000
0.700000, 0, 0, 0, 0, 0, 0, 3000
0.800000, 0, 0, 0, 0, 0, 0, 3000
0.900000, 0, 0, 0, 0, 0, 0, 3000
1.000000, 0, 0, 0, 0, 0, 0, 3000
1.100000, 0, 0, 0, 0, 0, 0, 3000
1.200000, 0, 12, 0, 0, 0, 0, 3000
1.300000, 0, 26, 0, 0, 0, 0, 3000
1.400000, 0, 52, 0, 0, 0, 0, 3000
1.500000, 0, 61, 0, 0, 0, 0, 3000
1.600000, 0, 77, 0, 0, 0, 0, 3000
1.700000, 0, 89, 0, 0, 0, 0, 3000
1.800000, 0, 89, 0, 0, 0, 0, 3000
1.900000, 0, 92, 0, 0, 0, 0, 3000
2.000000, 0, 117, 0, 0, 0, 0, 3000
2.100000, 0, 121, 0, 0, 0, 0, 3000
2.200000, 0, 122, 0, 0, 0, 0, 3000
2.300000, 0, 118, 0, 0, 0, 0, 3000
2.400000, 0, 121, 0, 0, 0, 0, 3000
2.500000, 0, 142, 0, 0, 0, 0, 3000
2.600000, 0, 146, 0, 0, 0, 0, 3000
2.700000, 0, 145, 0, 0, 0, 0, 3000
2.799999, 0, 144, 0, 0, 0, 0, 3000
2.899999, 0, 145, 0, 0, 0, 0, 3000
2.999999, 0, 144, 0, 0, 0, 0, 3000
3.099999, 0, 143, 0, 0, 0, 0, 3000
3.199999, 0, 175, 0, 0, 0, 0, 3000
3.299999, 0, 176, 0, 0, 0, 0, 3000
3.399999, 0, 174, 0, 0, 0, 0, 3000
3.499999, 0, 171, 0, 0, 0, 0, 3000
3.599999, 0, 172, 0, 0, 0, 0, 3000
3.699999, 0, 173, 0, 0, 0, 0, 3000
3.799999, 0, 171, 0, 0, 0, 0, 3000
3.899998, 0, 170, 0, 0, 0, 0, 3000
3.999998, 0, 197, 0, 0, 0, 0, 3000
4.099998, 0, 203, 0, 0, 0, 0, 3000
4.199998, 0, 200, 0, 0, 0, 0, 3000
4.299998, 0, 197, 0, 0, 0, 0, 3000
4.399998, 0, 192, 0, 0, 0, 0, 3000
4.499998, 0, 191, 0, 0, 0, 0, 3000
4.599998, 0, 192, 0, 0, 0, 0, 3000
4.699998, 0, 190, 0, 0, 0, 0, 3000
4.799998, 0, 189, 0, 0, 0, 0, 3000
4.899998, 0, 184, 0, 0, 0, 0, 3000
4.999998, 0, 217, 0, 0, 0, 0, 3000
5.099998, 0, 219, 0, 0, 0, 0, 3000
5.199997, 0, 221, 0, 0, 0, 0, 3000
5.299997, 0, 220, 0, 0, 0, 0, 3000
5.399997, 0, 220, 0, 0, 0, 0, 3000
5.499997, 0, 222, 0, 0, 0, 0, 3000
5.599997, 0, 218, 0, 0, 0, 0, 3000
5.699997, 0, 217, 0, 0, 0, 0, 3000
5.799997, 0, 216, 0, 0, 0, 0, 3000
5.899997, 0, 215, 0, 0, 0, 0, 3000
5.999997, 0, 212, 0, 0, 0, 0, 3000
6.099997, 0, 210, 0, 0, 0, 0, 3000
6.199996, 0, 238, 0, 0, 0, 0, 3000
6.299996, 0, 256, 0, 0, 0, 0, 3000
6.399996, 0, 268, 0, 0, 0, 0, 3000
6.499996, 0, 273, 0, 0, 0, 0, 3000
6.599996, 0, 274, 0, 0, 0, 0, 3000
6.699996, 0, 275, 0, 0, 0, 0, 3000
6.799996, 0, 272, 0, 0, 0, 0, 3000
6.899996, 0, 274, 0, 0, 0, 0, 3000
6.999996, 0, 272, 0, 0, 0, 0, 3000
7.099996, 0, 273, 0, 0, 0, 0, 3000
7.199996, 0, 271, 0, 0, 0, 0, 3000
7.299995, 0, 269, 0, 0, 0, 0, 3000
7.399995, 0, 270, 0, 0, 0, 0, 3000
7.499995, 0, 270, 0, 0, 0, 0, 3000
7.599995, 0, 270, 0, 0, 0, 0, 3000
7.699995, 0, 270, 0, 0, 0, 0, 3000
7.799995, 0, 269, 0, 0, 0, 0, 3000
7.899995, 0, 266, 0, 0, 0, 0, 3000
7.999995, 0, 265, 0, 0, 0, 0, 3000
8.099995, 0, 264, 0, 0, 0, 0, 3000
8.199995, 0, 262, 0, 0, 0, 0, 3000
8.299995, 0, 293, 0, 0, 2, 0, 3000
8.399996, 0, 307, 0, 0, 3, 4, 3000
8.499996, 0, 325, 0, 0, 11, 12, 3000
8.599997, 0, 329, 0, 0, 23, 22, 3000
8.699997, 0, 338, 0, 0, 34, 35, 3000
8.799997, 0, 353, 0, 0, 41, 39, 3000
8.899998, 0, 354, 0, 0, 49, 47, 3000
8.999998, 0, 368, 0, 0, 49, 49, 3000
9.099998, 0, 376, 0, 0, 59, 61, 3000
9.199999, 0, 385, 0, 0, 66, 66, 3000
9.299999, 0, 390, 0, 0, 72, 72, 3000
9.400000, 0, 396, 0, 0, 77, 75, 3000
9.500000, 0, 405, 0, 0, 84, 85, 3000
9.600000, 0, 409, 0, 0, 95, 97, 3000
9.700001, 0, 420, 0, 0, 104, 103, 3000
9.800001, 0, 427, 0, 0, 108, 105, 3000
9.900002, 0, 429, 0, 0, 113, 111, 3000
10.000002, 0, 439, 0, 0, 116, 118, 3000
10.100002, 0, 445, 0, 0, 122, 130, 3000
10.200003, 0, 447, 0, 0, 125, 132, 3000
10.300003, 0, 457, 0, 0, 136, 135, 3000
10.400003, 0, 465, 0, 0, 145, 142, 3000
10.500004, 0, 469, 0, 0, 148, 144, 3000
10.600004, 0, 474, 0, 0, 152, 153, 3000
10.700005, 0, 480, 0, 0, 160, 159, 3000
10.800005, 0, 487, 0, 0, 162, 163, 3000
10.900005, 0, 490, 0, 0, 175, 179, 3000
11.000006, 0, 501, 0, 0, 181, 183, 3000
11.100006, 0, 505, 0, 0, 184, 185, 3000
11.200006, 0, 510, 0, 0, 186, 186, 3000
11.300007, 0, 512, 0, 0, 191, 197, 3000
11.400007, 0, 514, 0, 0, 201, 205, 3000
11.500008, 0, 522, 0, 0, 206, 205, 3000
11.600008, 0, 523, 0, 0, 211, 212, 3000
11.700008, 0, 527, 0, 0, 221, 216, 3000
11.800009, 0, 537, 0, 0, 227, 223, 3000
11.900009, 0, 540, 0, 0, 230, 228, 3000
12.000010, 0, 544, 0, 0, 235, 232, 3000
12.100010, 0, 550, 0, 0, 245, 250, 3000
12.200010, 0, 562, 0, 0, 248, 248, 3000
12.300011, 0, 567, 0, 0, 251, 249, 3000
