time,phlf,qacr,yfp,gfp,atc,iptg,total
0.000000, 0, 0, 0, 0, 0, 0, 3000
0.100000, 0, 0, 0, 0, 0, 0, 3000
0.200000, 0, 0, 0, 0, 0, 0, 3000
0.300000, 0, 0, 0, 0, 0, 0, 3000
0.400000, 0, 0, 0, 0, 0, 0, 3000
0.500000, 0, 0, 0, 0, 0, 0, 3000
0.600000, 0, 0, 0, 0, 0, 0, 3000
0.700000, 0, 0, 0, 0, 0, 0, 3000
0.800000, 0, 0, 0, 0, 0, 0, 3000
0.900000, 0, 0, 0, 0, 0, 0, 3000
1.000000, 0, 0, 0, 0, 0, 0, 3000
1.100000, 0, 0, 0, 0, 0, 0, 3000
1.200000, 0, 10, 0, 0, 0, 0, 3000
1.300000, 0, 29, 0, 0, 0, 0, 3000
1.400000, 0, 51, 0, 0, 0, 0, 3000
1.500000, 0, 57, 0, 0, 0, 0, 3000
1.600000, 0, 81, 0, 0, 0, 0, 3000
1.700000, 0, 93, 0, 0, 0, 0, 3000
1.800000, 0, 95, 0, 0, 0, 0, 3000
1.900000, 0, 97, 0, 0, 0, 0, 3000
2.000000, 0, 120, 0, 0, 0, 0, 3000
2.100000, 0, 122, 0, 0, 0, 0, 3000
2.200000, 0, 124, 0, 0, 0, 0, 3000
2.300000, 0, 124, 0, 0, 0, 0, 3000
2.400000, 0, 123, 0, 0, 0, 0, 3000
2.500000, 0, 150, 0, 0, 0, 0, 3000
2.600000, 0, 151, 0, 0, 0, 0, 3000
2.700000, 0, 155, 0, 0, 0, 0, 3000
2.799999, 0, 153, 0, 0, 0, 0, 3000
2.899999, 0, 151, 0, 0, 0, 0, 3000
2.999999, 0, 152, 0, 0, 0, 0, 3000
3.099999, 0, 149, 0, 0, 0, 0, 3000
3.199999, 0, 172, 0, 0, 0, 0, 3000
3.299999, 0, 179, 0, 0, 0, 0, 3000
3.399999, 0, 178, 0, 0, 0, 0, 3000
3.499999, 0, 177, 0, 0, 0, 0, 3000
3.599999, 0, 175, 0, 0, 0, 0, 3000
3.699999, 0, 176, 0, 0, 0, 0, 3000
3.799999, 0, 175, 0, 0, 0, 0, 3000
3.899998, 0, 175, 0, 0, 0, 0, 3000
3.999998, 0, 200, 0, 0, 0, 0, 3000
4.099998, 0, 203, 0, 0, 0, 0, 3000
4.199998, 0, 207, 0, 0, 0, 0, 3000
4.299998, 0, 206, 0, 0, 0, 0, 3000
4.399998, 0, 204, 0, 0, 0, 0, 3000
4.499998, 0, 203, 0, 0, 0, 0, 3000
4.599998, 0, 200, 0, 0, 0, 0, 3000
4.699998, 0, 196, 0, 0, 0, 0, 3000
4.799998, 0, 195, 0, 0, 0, 0, 3000
4.899998, 0, 194, 0, 0, 0, 0, 3000
4.999998, 0, 218, 0, 0, 0, 0, 3000
5.099998, 0, 224, 0, 0, 0, 0, 3000
5.199997, 0, 224, 0, 0, 0, 0, 3000
5.299997, 0, 224, 0, 0, 0, 0, 3000
5.399997, 0, 221, 0, 0, 0, 0, 3000
5.499997, 0, 222, 0, 0, 0, 0, 3000
5.599997, 0, 222, 0, 0, 0, 0, 3000
5.699997, 0, 221, 0, 0, 0, 0, 3000
5.799997, 0, 220, 0, 0, 0, 0, 3000
5.899997, 0, 217, 0, 0, 0, 0, 3000
5.999997, 0, 216, 0, 0, 0, 0, 3000
6.099997, 0, 215, 0, 0, 0, 0, 3000
6.199996, 0, 244, 0, 0, 0, 0, 3000
6.299996, 0, 266, 0, 0, 0, 0, 3000
6.399996, 0, 279, 0, 0, 0, 0, 3000
6.499996, 0, 287, 0, 0, 0, 0, 3000
6.599996, 0, 286, 0, 0, 0, 0, 3000
6.699996, 0, 287, 0, 0, 0, 0, 3000
6.799996, 0, 286, 0, 0, 0, 0, 3000
6.899996, 0, 289, 0, 0, 0, 0, 3000
6.999996, 0, 290, 0, 0, 0, 0, 3000
7.099996, 0, 286, 0, 0, 0, 0, 3000
7.199996, 0, 286, 0, 0, 0, 0, 3000
7.299995, 0, 285, 0, 0, 0, 0, 3000
7.399995, 0, 286, 0, 0, 0, 0, 3000
7.499995, 0, 284, 0, 0, 0, 0, 3000
7.599995, 0, 283, 0, 0, 0, 0, 3000
7.699995, 0, 311, 0, 0, 1, 1, 3000
7.799995, 0, 317, 0, 0, 4, 2, 3000
7.899995, 0, 336, 0, 0, 12, 14, 3000
7.999995, 0, 345, 0, 0, 23, 19, 3000
8.099995, 0, 353, 0, 0, 36, 35, 3000
8.199995, 0, 362, 0, 0, 43, 39, 3000
8.299995, 0, 366, 0, 0, 51, 49, 3000
8.399996, 0, 374, 0, 0, 51, 49, 3000
8.499996, 0, 379, 0, 0, 65, 62, 3000
8.599997, 0, 385, 0, 0, 68, 66, 3000
8.699997, 0, 393, 0, 0, 73, 73, 3000
8.799997, 0, 402, 0, 0, 77, 77, 3000
8.899998, 0, 409, 0, 0, 81, 81, 3000
8.999998, 0, 418, 0, 0, 90, 88, 3000
9.099998, 0, 426, 0, 0, 104, 96, 3000
9.199999, 0, 432, 0, 0, 106, 101, 3000
9.299999, 0, 436, 0, 0, 111, 105, 3000
9.400000, 0, 445, 0, 0, 120, 116, 3000
9.500000, 0, 446, 0, 0, 131, 123, 3000
9.600000, 0, 451, 0, 0, 132, 122, 3000
9.700001, 0, 461, 0, 0, 143, 127, 3000
9.800001, 0, 460, 0, 0, 147, 139, 3000
9.900002, 0, 471, 0, 0, 145, 139, 3000
10.000002, 0, 476, 0, 0, 153, 148, 3000
10.100002, 0, 477, 0, 0, 160, 159, 3000
10.200003, 0, 483, 0, 0, 163, 158, 3000
10.300003, 0, 486, 0, 0, 186, 174, 3000
10.400003, 0, 496, 0, 0, 189, 179, 3000
10.500004, 0, 499, 0, 0, 187, 181, 3000
10.600004, 0, 504, 0, 0, 188, 184, 3000
10.700005, 0, 508, 0, 0, 204, 191, 3000
10.800005, 0, 512, 0, 0, 210, 206, 3000
10.900005, 0, 524, 0, 0, 214, 209, 3000
11.000006, 0, 526, 0, 0, 218, 213, 3000
11.100006, 0, 528, 0, 0, 225, 216, 3000
11.200006, 0, 535, 0, 0, 229, 223, 3000
11.300007, 0, 537, 0, 0, 233, 230, 3000
11.400007, 0, 538, 0, 0, 237, 236, 3000
11.500008, 0, 542, 0, 0, 248, 245, 3000
11.600008, 0, 546, 0, 0, 253, 249, 3000
11.700008, 0, 553, 0, 0, 258, 249, 3000
11.800009, 0, 565, 0, 0, 258, 252, 3000
11.900009, 0, 567, 0, 0, 267, 262, 3000
12.000010, 0, 569, 0, 0, 275, 266, 3000
12.100010, 0, 573, 0, 0, 280, 269, 3000
12.200010, 0, 578, 0, 0, 283, 273, 3000
12.300011, 0, 580, 0, 0, 288, 281, 3000
