time,phlf,qacr,yfp,total
0.100000, 0, 0, 0, 3000
1.100000, 0, 0, 0, 3000
2.100000, 0, 118, 0, 3000
3.099999, 0, 148, 0, 3000
4.099998, 0, 193, 0, 3000
5.099998, 0, 217, 0, 3000
6.099997, 0, 212, 0, 3000
7.099996, 0, 279, 0, 3000
8.099995, 0, 320, 0, 3000
9.099998, 0, 396, 0, 3000
10.100002, 0, 458, 0, 3000
11.100006, 0, 512, 0, 3000
12.100010, 0, 561, 0, 3000
13.100014, 0, 610, 0, 3000
14.100018, 0, 647, 0, 3000
15.100021, 0, 695, 2, 3000
16.100025, 0, 724, 9, 3000
17.100029, 0, 764, 14, 3000
18.100033, 0, 799, 19, 3000
19.100037, 0, 820, 26, 3000
20.100040, 0, 857, 33, 3011
21.100044, 0, 899, 47, 3048
22.100048, 0, 934, 59, 3096
23.100052, 0, 987, 71, 3187
24.100056, 0, 1051, 89, 3280
25.100060, 0, 1119, 104, 3386
26.100063, 0, 1172, 118, 3486
27.100067, 0, 1226, 126, 3586
28.100071, 0, 1269, 144, 3678
29.100075, 0, 1335, 154, 3783
30.100079, 0, 1387, 173, 3888
31.100082, 0, 1441, 194, 4003
32.100082, 0, 1500, 213, 4097
33.100067, 0, 1540, 233, 4187
34.100052, 0, 1616, 250, 4290
35.100037, 0, 1668, 270, 4386
36.100021, 0, 1738, 288, 4476
37.100006, 0, 1789, 303, 4565
38.099991, 0, 1819, 320, 4643
39.099976, 0, 1868, 339, 4703
40.099960, 0, 1926, 360, 4795
41.099945, 0, 1972, 374, 4865
42.099930, 0, 2023, 390, 4947
43.099915, 0, 2070, 404, 5021
44.099899, 0, 2116, 418, 5084
45.099884, 0, 2155, 434, 5158
46.099869, 0, 2196, 451, 5232
47.099854, 0, 2227, 467, 5302
48.099838, 0, 2271, 482, 5367
49.099823, 0, 2294, 492, 5445
50.099808, 0, 2341, 500, 5518
51.099792, 0, 2376, 516, 5579
52.099777, 0, 2392, 526, 5636
53.099762, 0, 2430, 538, 5702
54.099747, 0, 2452, 543, 5762
55.099731, 0, 2493, 550, 5830
56.099716, 0, 2508, 555, 5872
57.099701, 0, 2522, 566, 5939
58.099686, 0, 2550, 578, 6003
59.099670, 0, 2569, 584, 6060
60.099655, 0, 2589, 590, 6122
61.099640, 0, 2614, 598, 6189
62.099625, 0, 2649, 607, 6286
63.099609, 0, 2682, 619, 6392
64.099594, 0, 2727, 634, 6538
65.099579, 0, 2765, 654, 6691
66.099564, 0, 2822, 669, 6835
67.099548, 0, 2900, 689, 7029
68.099533, 0, 2963, 707, 7194
69.099518, 0, 3035, 727, 7383
70.099503, 0, 3078, 750, 7584
71.099487, 0, 3127, 768, 7748
72.099472, 0, 3201, 791, 7948
73.099457, 0, 3253, 809, 8149
74.099442, 0, 3301, 825, 8327
75.099426, 0, 3360, 835, 8529
76.099411, 0, 3431, 854, 8721
77.099396, 0, 3478, 864, 8885
78.099380, 0, 3525, 880, 9051
79.099365, 0, 3586, 896, 9214
80.099350, 0, 3657, 913, 9405
81.099335, 0, 3708, 929, 9582
82.099319, 0, 3772, 943, 9760
83.099304, 0, 3814, 955, 9893
